Raw_Name,Standardized_Name,Intercompany,Supplier_Type,Location
"Washington Workplace, Inc.",Washington Workplace,N,Distributor,USA
Carter Electric Inc,Carter Electric,N,Service Provider,USA
Penske,Penske,N,Service Provider,USA
OMNIMETRIX,OmniMetrix,N,Manufacturer,USA
Krugs Home Improvements LLC,Krugs Home Improvements,N,Service Provider,USA
"MDI of Texas, Inc",MDI of Texas,N,Manufacturer,USA
"GE Grid Solutions, LLC",GE Grid Solutions,N,Manufacturer,USA
"PEAKER SERVICES, INC. (PSI)",Peaker Services,N,Service Provider,USA
AMRAN LLC,Amran,N,Manufacturer,USA
"ZORO TOOLS, INC.",Zoro,N,Distributor,USA
"HAMMOND POWER SOLUTIONS, INC.",Hammond Power Solutions,N,Manufacturer,Canada
Total Plastics International,Total Plastics International,N,Distributor,USA
Sieyuan Electric USA LLC,Sieyuan Electric,N,Manufacturer,China
Encompass Engineers and Architects,Encompass Engineers & Architects,N,Service Provider,USA
Springfield Electric Supply Company LLC dba ECHO,Springfield Electric Supply,N,Distributor,USA
Gund Company,The Gund Company,N,Manufacturer,USA
"TECHNICAL TOOL PRODUCTS, INC",Technical Tool Products,N,Distributor,USA
DC Decom,DC Decom,N,Service Provider,USA
Hammond Power Solutions,Hammond Power Solutions,N,Manufacturer,Canada
Performance Electrostatic Inc,Performance Electrostatic,N,Manufacturer,USA
Pulsar Global Corp,Pulsar Global,N,Distributor,USA
DeFelsko Corporation,DeFelsko,N,Manufacturer,USA
Nestl,Nestle,N,Manufacturer,Switzerland
TEMPCO MANUFACTURING COMPANY,Tempco Manufacturing,N,Manufacturer,USA
VIVERSOFT INC,Viversoft,N,Service Provider,USA
"SUNBELT RENTALS, INC",Sunbelt Rentals,N,Service Provider,USA
_ALLIED TRADING INC/dba PWRQ,Power Quality,N,Distributor,USA
ECHO ENGINEERING AND PRODUCTION SUPPLIES INC,Echo Engineering & Production Supplies,N,Manufacturer,USA
GW Mechanical,GW Mechanical,N,Service Provider,USA
Credit Key,Credit Key,N,Service Provider,USA
EIS inc,EIS,N,Distributor,USA
"Recore Electrical Contractors, Inc.",Recore Electrical Contractors,N,Service Provider,USA
"Chesapeake Distributing Co., Inc.",Chesapeake Distributing,N,Distributor,USA
BORDER STATES - MPL,Border States,N,Distributor,USA
_MGM TRANSFORMER COMPANY,MGM Transformer,Intercompany,Manufacturer,USA
ACCUENERGY (CANADA) INC,Accuenergy,N,Manufacturer,Canada
_VANTRAN TRANSFORMERS,Vantran Transformers,N,Manufacturer,USA
_BRETCO INC,Bretco,N,Manufacturer,USA
_ARES ENERGY LP / PWRQ SYSTEMS,Ares Energy / PWRQ Systems,N,Service Provider,USA
1000BULBS,1000Bulbs,N,Distributor,USA
5 GENERATIONS LLC,5 Generations,N,Service Provider,USA
505 KEY SYSTEMS INC,505 Key Systems,N,Manufacturer,USA
511 LIGHTING MAINTENANCE INC,511 Lighting Maintenance,N,Service Provider,USA
551 PRIMARY ENTERPRISES LLC,551 Primary Enterprises,N,Service Provider,USA
80/20 LLC,80/20,N,Manufacturer,USA
A & J ELECTRIC COMPANY INC,A & J Electric Company,N,Service Provider,USA
"A M & T Group, Inc.",A M & T Group,N,Service Provider,USA
348 A&J ELECTRIC,A&J Electric,N,Service Provider,USA
AAA ELECTRICAL EQUIPMENT,AAA Electrical Equipment,N,Distributor,USA
AAA GALVANIZING - WINSTED INC,AAA Galvanizing - Winsted,N,Service Provider,USA
AACRON ANODIZING,Aacron Anodizing,N,Service Provider,USA
350 AAKER ELECTRIC SUPPLY,Aaker Electric Supply,N,Distributor,USA
AARON BUTCHER,Aaron Butcher,N,Individual,USA
Aaron Pufahl,Aaron Pufahl,N,Individual,USA
613 AAROW ELECTRICAL SOLUTIONS,Aarow Electrical Solutions,N,Service Provider,USA
ABB Empower,ABB,N,Manufacturer,Switzerland
ABB INC,ABB,N,Manufacturer,USA
ABB INC.,ABB,N,Manufacturer,USA
"ABB: INDUSTRIAL CONNECTIONS & SOLUTIONS, LLC",ABB,N,Manufacturer,USA
ABB INDUSTRIAL CONNECTIONS AND SOLUTIONS,ABB,N,Manufacturer,USA
614 ABLE ELECTRICAL SERVICES,Able Electrical Services,N,Service Provider,USA
ABSOLUTE LANDSCAPE & TURF SERVICES,Absolute Landscape & Turf Services,N,Service Provider,USA
686 ABSOLUTE SYSTEMS ENGINEERING,Absolute Systems Engineering,N,Service Provider,USA
AC & DC POWER TECHNOLOGIES LLC,AC & DC Power Technologies,N,Service Provider,USA
AC DC WIRE AND SUPPLY,AC DC Wire and Supply,N,Distributor,USA
352 AC POWER INC,AC Power,N,Service Provider,USA
ACC BREAKERS,ACC Breakers,N,Distributor,USA
"Accord Technologies, Inc.",Accord Technologies,N,Service Provider,USA
Accretion Power LLC,Accretion Power,N,Service Provider,USA
ACCUENERGY,Accuenergy,N,Manufacturer,Canada
ACCU-TECH Corporation,Accu-Tech,N,Distributor,USA
ACE BREAKERS CONTROLS,Ace Breakers Controls,N,Distributor,USA
ACIST ELECTRIC,Acist Electric,N,Service Provider,USA
ADAMS INTERNATIONAL LLC USA,Adams International LLC USA,N,Distributor,USA
ADOBE,Adobe,N,Service Provider,USA
AD-TECH CCI INC,Ad-Tech CCI,N,Distributor,USA
ADVANCE AUTO PARTS,Advance Auto Parts,N,Distributor,USA
"Advance Scale Company, Inc.",Advance Scale Company,N,Service Provider,USA
ADVANCED ELECTRICAL AND MOTOR CONTROLS,Advanced Electrical and Motor Controls,N,Manufacturer,USA
354 ADVANCED ELECTRICAL SERVICES,Advanced Electrical Services,N,Service Provider,USA
ADVANCED THERMAL SOLUTIONS,Advanced Thermal Solutions,N,Manufacturer,USA
RUTH RIDLEY/ADVANCEMENT INTERNATIONAL LTD,Advancement International,N,Distributor,USA
Advancement International,Advancement International,N,Distributor,USA
Advancement International LTD,Advancement International,N,Distributor,USA
ADVANTECH CORPORATION,Advantech,N,Manufacturer,Taiwan
ADVENT INDUSTRIAL TECHNOLOGIES,Advent Industrial Technologies,N,Distributor,USA
AEMC INSTRUMENTS,AEMC Instruments,N,Manufacturer,USA
Aero Drapery and Blind,Aero Drapery and Blind,N,Service Provider,USA
AeroJet LLC,AeroJet,N,Manufacturer,USA
AFP Transformers Corporation,AFP Transformers,N,Manufacturer,USA
AFT FASTENERS,AFT Fasteners,N,Distributor,USA
"Aggreko Holdings, Inc.",Aggreko Holdings,N,Service Provider,UK
Air Cleaning Specialist Inc.,Air Cleaning Specialist,N,Service Provider,USA
Air Cleaning Specialists,Air Cleaning Specialists,N,Service Provider,USA
"Air Filters, Inc",Air Filters,N,Manufacturer,USA
Air Power Inc.,Air Power,N,Distributor,USA
AIRECO SUPPLY,Aireco Supply,N,Distributor,USA
AIRGAS USA,Airgas,N,Distributor,USA
AK MATERIAL HANDLING SYSTEMS INC,AK Material Handling Systems,N,Service Provider,USA
"AKRON ELECTRIC, INC",Akron Electric,N,Manufacturer,USA
359 ALASON ELECTRICAL CONTRACTORS,Alason Electrical Contractors,N,Service Provider,USA
657 ALAZZAZ TRADING & CONTRACTING CO,Alazzaz Trading & Contracting Co,N,Service Provider,Saudi Arabia
ALBANY INDUSTRIAL SUPPLY,Albany Industrial Supply,N,Distributor,USA
"Alert Media, Inc.",AlertMedia,N,Service Provider,USA
ALERUS FINANCIAL,Alerus Financial,N,Service Provider,USA
ALEX CABEZA,Alex Cabeza,N,Individual,Unknown
AL-JALAL TRADING EST,Al-Jalal Trading Est,N,Distributor,Saudi Arabia
361 ALL AMERICAN MECHANICAL SERVICES,All American Mechanical Services,N,Service Provider,USA
ALL CURRENT ELECTRICAL SALES,All Current Electrical Sales,N,Distributor,USA
ALL ELECTRIC NEEDS,All Electric Needs,N,Distributor,USA
811 ALL IN ELECTRIC INC,All In Electric,N,Service Provider,USA
ALL INTEGRATED SOLUTIONS,All Integrated Solutions,N,Distributor,USA
ALL SECURITY ELECTRONICS,All Security Electronics,N,Distributor,USA
ALLEGIS CORPORATION,Allegis,N,Distributor,USA
ALLFUSES.COM,Allfuses,N,Distributor,USA
IC-Allied Power and Control,Allied Power and Control,Intercompany,Service Provider,USA
ALLIED TRADING INC/dba PWRQ,Allied Trading,N,Manufacturer,USA
ALLIED WIRE AND CABLE INC,Allied Wire and Cable,N,Distributor,USA
"1219 ALPHACRAFT TECHNOLOGIES, LLC",Alphacraft Technologies,N,Manufacturer,USA
"Alta Packaging, Inc.",Alta Packaging,N,Manufacturer,USA
ALTERNATIVE PARTS INC,Alternative Parts,N,Distributor,USA
"363 ALTIMATE ELECTRIC, INC.",Altimate Electric,N,Service Provider,USA
ALTINKAYA,Altinkaya Enclosure Systems,N,Manufacturer,Turkey
AMADA AMERICA INC,Amada America,N,Manufacturer,Japan
AMADA AMERICA,Amada America,N,Manufacturer,USA
Amado Renan,Amado Renan,N,Individual,Unknown
AMAZON,Amazon,N,Distributor,USA
"954 AMBER ENTERPRISES, INC",Amber Enterprises,N,Manufacturer,India
AMCRAFT MANUFACTURING INC,Amcraft Manufacturing,N,Manufacturer,USA
AMERICAN AED,American AED,N,Distributor,USA
AAF: AMERICAN AIR FILTER INTERNATIONAL,American Air Filter International,N,Manufacturer,USA
American Belleville,American Belleville,N,Manufacturer,USA
AMERICAN BELLEVILLE,American Belleville,N,Manufacturer,USA
AMERICAN BREAKERS,American Breakers,N,Distributor,USA
AMERICAN FALCON INTERNATION,American Falcon International,N,Distributor,USA
778 AMERICAN FALCON INTERNATIONAL INC,American Falcon International,N,Distributor,USA
American Floor Mats,American Floor Mats,N,Distributor,USA
APC INTERNAL,American Power Conversion,N,Manufacturer,USA
APC SERVICE ITEM INBOUND,American Power Conversion,N,Manufacturer,USA
AMERICAN PRESSURE INC,American Pressure,N,Distributor,USA
AMERICAN WEST SURPLUS,American West Surplus,N,Distributor,USA
Amerisan LLC,Amerisan,N,Distributor,USA
Amphenol Industrial Operation,Amphenol Industrial Operations,N,Manufacturer,USA
AMRAN INC,Amran,N,Manufacturer,USA
ANCHOR DISTRIBUTION & CONTROL,Anchor Distribution & Control,N,Distributor,USA
ANDREW DAVIS,Andrew Davis,N,Individual,Unknown
ANIXTER INC,Anixter,N,Distributor,USA
ANIXTER,Anixter,N,Distributor,USA
ANTONIO APARECI,Antonio Apareci,N,Individual,Brazil
ANTONIO APARECI DO NASCIMENTO,Antonio Apareci Do Nascimento,N,Individual,Brazil
ANY BREAKERS  INC,Any Breakers,N,Distributor,USA
APC MANUFACTURING LABS,APC Manufacturing LABS,N,Manufacturer,USA
EMERSON / EGS % APPLETON GROUP LLC,Appleton Group,N,Manufacturer,USA
APPLIED CONTROLS,Applied Controls,N,Distributor,USA
APPLIED POWER GROUP LLC,Applied Power Group,N,Service Provider,USA
APPLIED SOFTWARE TECHNOLOGY LLC,Applied Software Technology,N,Service Provider,USA
APS CONTROL,APS Control,N,Manufacturer,USA
747 AQESA | ALI ZAID AL QURAISHI & PARTNERS,Aqesa & Partners,N,Service Provider,Saudi Arabia
ARBON EQUIPMENT CORPORATION,Arbon Equipment,N,Service Provider,USA
Arbon Equipment Corporation,Arbon Equipment,N,Service Provider,USA
ARCA SUPPLY,Arca Supply,N,Distributor,USA
ARCHITECTURAL BUILDERS SUPPLY,Architectural Builders Supply,N,Distributor,USA
ARCK ELECTRIC SUPPLY - FL,ARCK Electric Supply - FL,N,Distributor,USA
ARES ENERGY LP / PWRQ SYSTEMS,Ares Energy / Pwrq Systems,Intercompany,Service Provider,USA
800 ARES ENERGY,Ares Energy / Pwrq Systems,Intercompany,Service Provider,USA
IC-Ares Energy,Ares Energy / Pwrq Systems,Intercompany,Service Provider,USA
ARGO TURBOSERVE CORPORATION,Argo Turboserve,N,Distributor,USA
ARGON MASKING CORP,Argon Masking,N,Manufacturer,USA
373 ARICA CONSULTING & CONTRACTING,Arica Consulting & Contracting,N,Service Provider,USA
ARIZONA BREAKER,Arizona Breaker,N,Distributor,USA
ARKANSAS ELECTRICAL OUTLET,Arkansas Electrical Outlet,N,Distributor,USA
"ARRK NORTH AMERICA, INC",ARRK North America,N,Service Provider,USA
ARROW.COM,Arrow Electronics,N,Distributor,USA
375 ARUNDEL ELECTRICAL CONTRACTORS,Arundel Electrical Contractors,N,Service Provider,USA
ASCHERL HORST,Ascherl Horst,N,Individual,Germany
ASCO POWER TECHNOLOGIES LP,ASCO Power Technologies,N,Manufacturer,USA
"ASCO Power Technologies, L.P.",ASCO Power Technologies,N,Manufacturer,USA
ASHTON CHRIST,Ashton Christ,N,Individual,USA
ASMC INDUSTRIAL,ASMC Industrial,N,Distributor,USA
Associated Finishing Inc,Associated Finishing,N,Service Provider,USA
Astute Engineering LLC,Astute Engineering,N,Service Provider,USA
"ATLANTIC LIFT TRUCK, INC",Atlantic Lift Truck,N,Service Provider,USA
380 ATLANTIC POWER & LIGHT CO,Atlantic Power & Light,N,Service Provider,USA
ATLAS ELECTRIC INC,Atlas Electric,N,Distributor,USA
AUCTO.COM,Aucto,N,Service Provider,USA
Audemus LLC,Audemus,N,Service Provider,USA
AURELIO SALVADOR,Aurelio Salvador,N,Individual,Unknown
"Aurora Technologies, Inc.",Aurora Technologies,N,Manufacturer,USA
AUSTIN MACIOK,Austin Maciok,N,Individual,USA
"AUSTIN SURPLUS INDUSTRIAL, INC",Austin Surplus Industrial,N,Distributor,USA
AUTODESK INC,Autodesk,N,Service Provider,USA
AUTODESK,Autodesk,N,Service Provider,USA
AUTOMATION RECOVERY,Automation Recovery,N,Distributor,USA
Automation Source,Automation Source,N,Distributor,USA
AUTOMATION DIRECT.COM INC,AutomationDirect,N,Distributor,USA
AUTOMATION DIRECT,AutomationDirect,N,Distributor,USA
Avery Labels,Avery Labels,N,Manufacturer,USA
Avetta,Avetta,N,Service Provider,USA
AVO MULTI AMP CORP,AVO Multi-Amp,N,Manufacturer,USA
AxisData Solutions,AxisData Solutions,N,Service Provider,USA
AXYZ USA INC,AXYZ USA,N,Manufacturer,USA
B & A Heavy Haul,B & A Heavy Haul,N,Service Provider,USA
B & D MACHINE INC,B & D Machine,N,Manufacturer,USA
B&H photo,B&H Photo,N,Distributor,USA
BAILEY & SHIPP,Bailey & Shipp Electric,N,Service Provider,USA
382 BAILEY & SHIPP ELECTRIC,Bailey & Shipp Electric,N,Service Provider,USA
Bakersgas.com,Baker's Gas & Welding Supplies,N,Distributor,USA
Baker's Gas & Welding Supplies,Baker's Gas & Welding Supplies,N,Distributor,USA
Bambu Lab,Bambu Lab Usa,N,Manufacturer,China
"Band Hi-Fi, LLC",Band Hi-Fi,N,Distributor,USA
BANYAN TREE VENTURES,Banyan Tree Ventures,N,Service Provider,USA
BARR ENGINEERING COMPANY,Barr Engineering,N,Service Provider,USA
BARTON MINES,Barton Mines,N,Manufacturer,USA
BASF / CHEMETALL,BASF / Chemetall,N,Manufacturer,Germany
BASIC SUPPLY,Basic Supply,N,Distributor,USA
BASLER ELECTRIC COMPANY,Basler Electric,N,Manufacturer,USA
BASLER ELECTRIC,Basler Electric,N,Manufacturer,USA
BATTERIES PLUS BULBS,Batteries Plus Bulbs,N,Distributor,USA
826 BAY DIESEL CORPORATION,Bay Diesel,N,Service Provider,USA
BAY POWER INC,Bay Power,N,Distributor,USA
387 BAY STATE ELECTRIC,Bay State Electric,N,Service Provider,USA
764 BC ELECTRIC,BC Electric,N,Service Provider,USA
BCS SWITCHGEAR,BCS Switchgear,N,Distributor,USA
BD ELECTRICAL,BD Electrical,N,Distributor,USA
388 BEAL INDUSTRIAL PRODUCTS,Beal Industrial Products,N,Distributor,USA
BEESLIGHTING,Bees Lighting,N,Distributor,USA
BEIENE GLOBAL PTE. LTD.,Beiene Global,N,Distributor,Singapore
BEMCO ELECTRICAL,Bemco Electrical,N,Distributor,United Kingdom
BENDER ELECTRONICS INC,Bender Electronics,N,Manufacturer,Germany
390 BENFIELD ELECTRIC CO,Benfield Electric,N,Distributor,USA
390:1 BENFIELD ELECTRIC CO : BENFIELD ELECTRIC CO - VIRGINIA,Benfield Electric,N,Distributor,USA
BERTHOLD ELECTRIC,Berthold Electric,N,Manufacturer,USA
716 BEST WAY ELECTRIC,Best Way Electric,N,Service Provider,USA
BEYOND COMPONENTS WEST INC,Beyond Components WEST,N,Distributor,USA
391 BGE HOME,BGE Home,N,Service Provider,USA
Big Ass Fans,Big Ass Fans,N,Manufacturer,USA
BIG BOY'S RIGGING LLC,Big Boy's Rigging,N,Service Provider,USA
BILL BRANDON,Bill Brandon,N,Individual,USA
BILL RITTER,Bill Ritter,N,Individual,USA
"812 BIRCKHEAD ELECTRIC, INC",Birckhead Electric,N,Service Provider,USA
Bisco Industries,Bisco Industries,N,Distributor,USA
BITRONICS LLC,Bitronics,N,Manufacturer,USA
BLACKHAWK SUPPLY,Blackhawk Supply,N,Distributor,USA
712 BLACKWATER ELECTRIC,Blackwater Electric,N,Service Provider,USA
1044 BLANKENSHIP ELECTRIC,Blankenship Electric,N,Service Provider,USA
BMORE KREATIVE CUSTOM COATINGS,Bmore Kreative Custom Coatings,N,Service Provider,USA
BOB STAMPER,Bob Stamper,N,Individual,USA
BOBBY GILES,Bobby Giles,N,Individual,USA
BOLTSWITCH INC,Boltswitch,N,Manufacturer,USA
684 BOMARK ELECTRIC,Bomark Electric,N,Service Provider,USA
394 BOPAT ELECTRIC CO INC,Bopat Electric,N,Service Provider,USA
BOPAT ELECTRIC CO INC,Bopat Electric,N,Service Provider,USA
BORDER STATES,Border States Electric Supply,N,Distributor,USA
BORDER STATES INDUSTRIES INC,Border States Electric Supply,N,Distributor,USA
BOSCHERT PRECISION MACHINERY INC,Boschert Precision Machinery,N,Manufacturer,USA
Boschert Precision Machinery,Boschert Precision Machinery,N,Manufacturer,USA
Boss Laser,Boss Laser,N,Manufacturer,USA
395 BOWIE STATE UNIVERSITY,Bowie State University,N,Service Provider,USA
Brady,Brady,N,Manufacturer,USA
BRAH ELECTRIC,Brah Electric,N,Manufacturer,USA
BRANDOR,Brandor,N,Manufacturer,USA
Brawner Builders,Brawner Builders,N,Service Provider,USA
BRAYDEN DAIGLE,Brayden Daigle,N,Individual,USA
BREAKER BROKER INC PA,Breaker Broker PA,N,Distributor,USA
BREAKER BROKER TX,Breaker Broker Tx,N,Distributor,USA
BREAKER HUNTERS  INC,Breaker Hunters,N,Distributor,USA
BREAKER KING,Breaker King,N,Distributor,USA
BREAKER OUTLET CIRCUIT BREAKERS,Breaker Outlet Circuit Breakers,N,Distributor,USA
BREAKERS & CONTROLS FLORIDA,Breakers & Controls Florida,N,Distributor,USA
633 BREAKERS UNLIMITED INC,Breakers Unlimited,N,Distributor,USA
BREDEMUS HARDWARE CO. INC.,Bredemus Hardware,N,Distributor,USA
"Brenden Stanton, Inc.",Brenden Stanton,N,Service Provider,USA
BRET GIULIANI,Bret Giuliani,N,Individual,USA
BRETCO INC / DBA PWRQ,Bretco,N,Manufacturer,USA
BRETCO INC,Bretco,N,Manufacturer,USA
"705 BRETCO, INC",Bretco,Intercompany,Manufacturer,USA
Brianne Mullen,Brianne Mullen,N,Individual,USA
Brimar Industries,Brimar Industries,N,Manufacturer,USA
BROOKS MOTOR & ELECTRIC,Brooks Motor & Electric,N,Service Provider,USA
402 BROWN & HEIM INC,Brown & Heim,N,Service Provider,USA
BROWN-CAMPBELL COMPANY,Brown-Campbell,N,Distributor,USA
BROZELCO INC,Brozelco,N,Distributor,USA
BRUCE P RICHARDSON,Bruce P Richardson,N,Individual,USA
403 BRYANT BERRY INC,Bryant Berry,N,Service Provider,USA
BULBAMERICA,BulbAmerica,N,Distributor,USA
BULBS DEPOT,Bulbs Depot,N,Distributor,USA
BULB TOWN,BulbTown,N,Distributor,USA
BULLOCK BREAKERS,Bullock Breakers,N,Distributor,USA
BURNDY LLC,Burndy,N,Manufacturer,USA
BUYMYBREAKER.COM,BuyMyBreaker,N,Distributor,USA
BW INDUSTRIAL GRAPHICS AND ENGRAVING,BW Industrial Graphics & Engraving,N,Manufacturer,USA
BRYAM LABS,Byram Labs,N,Manufacturer,USA
BYRAM LABS,Byram Labs,N,Manufacturer,USA
CD Products / Bywater Business Solutions,Bywater Business Solutions,N,Service Provider,USA
C & C Custom Lawncare,C & C Custom Lawncare,N,Service Provider,USA
C & C Electric,C & C Electric,N,Service Provider,USA
C & G SURPLUS INC,C & G Surplus,N,Distributor,USA
C&G SURPLUS INC,C & G Surplus,N,Distributor,USA
408 C&R ELECTRIC INC,C&R Electric,N,Service Provider,USA
409 C&R MAINTENANCE INC,C&R Maintenance,N,Service Provider,USA
C3 CONTROLS,c3controls,N,Manufacturer,USA
CABLE TIES UNLIMITED,Cable Ties Unlimited,N,Distributor,USA
CABLE ORGANIZER,CableOrganizer,N,Distributor,USA
CablesAndKits.com,CablesAndKits,N,Distributor,USA
Cache Valley Electric Company,Cache Valley Electric,N,Service Provider,USA
990:1 CACHE VALLEY ELECTRIC COMPANY : CVE HONOLULU,Cache Valley Electric,N,Service Provider,USA
CAL fastners,Cal Fasteners,N,Distributor,USA
Cal Fasteners,Cal Fasteners,N,Distributor,USA
CALAM MFG,Calam Manufacturing,N,Manufacturer,USA
CALIBRATION TECHNOLOGIES INC,Calibration Technologies,N,Manufacturer,USA
CALIFORNIA CIRCUIT BREAKERS,California Circuit Breakers,N,Distributor,USA
772 CALVERT CONTROLS INC,Calvert Controls,N,Service Provider,USA
411 CALVERT MECHANICAL SOLUTIONS,Calvert Mechanical Solutions,N,Service Provider,USA
412 CAM ELECTRICAL SERVICES INC,Cam Electrical Services,N,Service Provider,USA
CAMBRIDGE-LEE INDUSTRIES LLC,Cambridge-Lee Industries,N,Manufacturer,USA
CAMPOS GARCIA,Campos Garcia,N,Individual,USA
CANARSKY & DAUGHTERS,Canarsky & Daughters,N,Service Provider,USA
Cap World,Cap World,N,Distributor,USA
CAPITAL ELECTRIC,Capital Electric Supply,N,Distributor,USA
635 CAPITAL ELECTRIC SUPPLY / SONEPAR,Capital Electric Supply,N,Distributor,USA
635:4 CAPITAL ELECTRIC SUPPLY / SONEPAR : CAPITAL ELECTRIC - ABERDEEN,Capital Electric Supply,N,Distributor,USA
635:1 CAPITAL ELECTRIC SUPPLY / SONEPAR : CAPITAL ELECTRIC - ALEXANDRIA,Capital Electric Supply,N,Distributor,USA
635:10 CAPITAL ELECTRIC SUPPLY / SONEPAR : CAPITAL ELECTRIC - ASHLAND VA,Capital Electric Supply,N,Distributor,USA
635:7 CAPITAL ELECTRIC SUPPLY / SONEPAR : CAPITAL ELECTRIC - CHARLOTTESVILLE,Capital Electric Supply,N,Distributor,USA
Capital Electric - do not use (3),Capital Electric Supply,N,Distributor,USA
414 CAPITOL POWER GROUP LLC,Capitol Power Group,N,Service Provider,USA
CARDINAL PAINT AND POWDER INC,Cardinal Paint and Powder,N,Manufacturer,USA
CARLOS LINARES,Carlos Linares,N,Individual,USA
416 CARROLL COUNTY PUBLIC SCHOOLS,Carroll County Public Schools,N,Service Provider,USA
CARTER DANIEL,Carter Daniel,N,Individual,USA
Carter Electric LLC,Carter Electric,N,Service Provider,USA
Carter Machinery,Carter Machinery,N,Distributor,USA
Carter Machinery Company Inc,Carter Machinery,N,Distributor,USA
CASCADE AUTOMATION,Cascade Automation,N,Service Provider,USA
978 CATOCTIN LIGHTING,Catoctin Lighting,N,Distributor,USA
CDW DIRECT LLC,CDW Direct,N,Distributor,USA
