Item_ID,Raw_Description,Category,Sub_Category,Category_Level_1,Category_Level_2,Category_Level_3,analysis_type,extraction_confidence,spec_type,spec_amps,spec_voltage,spec_phase,spec_poles,spec_kaic,spec_frame,spec_kva,spec_gauge,spec_nema,RawMat_Finish,RawMat_Thickness,RawMat_Width,RawMat_Length,RawMat_UoM,RawMat_Weight_Lbs,voltage_inferred,Canonical_Group_ID,Canonical_Name
2DZC8,"KNIPEX Insulated Tool Kit: Insulated, 7 Total Pcs, Drivers and Bits/Pliers",,,MRO & Indirect,Tools & Equipment,Safety Equipment,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7263,"KNIPEX Insulated Tool Kit: Insulated, 7 Total Pcs, Drivers and Bits/Pliers"
2GUS031803A9,"Surge Capacitor, 3pole, 0.250µF per pole, Non-PCB dielectric fluid—FARADOL 800",,,Circuit Protection,Protection Devices,Surge Protective Devices,ai_extraction,0.8,Capacitor,,,3.0,3.0,,,,,,,,,,,,,7264,"Surge Capacitor, 3pole, 0.250µF per pole, Non-PCB dielectric fluid—FARADOL 800"
2HNT4,"DAYTON Pre-Filter: MERV 12, For Use With 2HNT2/2HNT3",,,MRO & Indirect,Facilities,HVAC,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7265,"DAYTON Pre-Filter: MERV 12, For Use With 2HNT2/2HNT3"
2HNT5,"DAYTON High Capacity Pleated Filter: MERV 8, For Use With 2HNT2/2HNT3",,,MRO & Indirect,Facilities,HVAC,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7266,"DAYTON High Capacity Pleated Filter: MERV 8, For Use With 2HNT2/2HNT3"
2HNT6,"DAYTON HEPA Filter: MERV 15, For Use With 2HNT2/2HNT3",,,MRO & Indirect,Facilities,HVAC,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7267,"DAYTON HEPA Filter: MERV 15, For Use With 2HNT2/2HNT3"
2MPV1,dolly,,,MRO & Indirect,Industrial Equipment,Material Handling,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7268,dolly
30-073J,"IDEAL Twist-On Wire Connectors: Orange, Wire Sizes 18 AWG – 14 AWG, 600 V, 300, PK",,,Electrical Components,Terminal & Wiring,Connectors,ai_extraction,0.8,Wire Connector,,600V,,,,,,18-14 AWG,,,,,,,,,7269,"IDEAL Twist-On Wire Connectors: Orange, Wire Sizes 18 AWG – 14 AWG, 600 V, 300, PK"
301568,"MILLER XR-Aluma-Pro Push-Pull Gun, 15 ft, Air-Cooled",,,MRO & Indirect,Industrial Equipment,Manufacturing Equipment,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7270,"MILLER XR-Aluma-Pro Push-Pull Gun, 15 ft, Air-Cooled"
301569,Miller Electric Miller XR-Aluma-Pro Push-Pull Gun 301569,,,MRO & Indirect,Industrial Equipment,Manufacturing Equipment,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7271,Miller Electric Miller XR-Aluma-Pro Push-Pull Gun 301569
3051T11,"Flexible Strap Hanger Perforated Galvanized Steel, 24 Gauge, 3/4"" Wide, 10 Feet Long",,,Enclosures & Hardware,Structural Components,Mounting Hardware,ai_categorization,0.85,,,,,,,,,,,,,,,,,,7272,"Flexible Strap Hanger Perforated Galvanized Steel, 24 Gauge, 3/4"" Wide, 10 Feet Long"
3060T56,"Zinc-Plated, Steel, 3/8""-16 Thread Size, 8"" Inside Width, 8-5/8"" High",,,Enclosures & Hardware,Fasteners & Fittings,Bolts & Screws,ai_categorization,0.8,,,,,,,,,,,,,,,,,,7273,"Zinc-Plated, Steel, 3/8""-16 Thread Size, 8"" Inside Width, 8-5/8"" High"
30NX27,Square Milling Insert,,,MRO & Indirect,Tools & Equipment,Power Tools,ai_categorization,0.85,,,,,,,,,,,,,,,,,,7274,Square Milling Insert
30NX32,"HECK INDUSTRIES Corded Beveler: For Aluminum/Stainless Steel/Steel, 115V, 1 hp, 1/8 in Min Thick",,,MRO & Indirect,Tools & Equipment,Power Tools,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7275,"HECK INDUSTRIES Corded Beveler: For Aluminum/Stainless Steel/Steel, 115V, 1 hp, 1/8 in Min Thick"
3115T19,"Strut-Mount Metal Routing Clamp Zinc-Plated Steel, 2-3/8"" ID, 7/64"" Thick",,,Enclosures & Hardware,Structural Components,Mounting Hardware,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7276,"Strut-Mount Metal Routing Clamp Zinc-Plated Steel, 2-3/8"" ID, 7/64"" Thick"
3259T14,"Strut Channel Nut with Spring, 1-5/8"" High Channel, Steel, 3/8""-16 Thread",,,Enclosures & Hardware,Fasteners & Fittings,Nuts & Washers,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7277,"Strut Channel Nut with Spring, 1-5/8"" High Channel, Steel, 3/8""-16 Thread"
32J029,"APPROVED VENDOR Manual Two-Way Ball Valve: 1/2 in, Straight, FNPT x FNPT, Full Port Ball Port, Lever",,,MRO & Indirect,Facilities,Plumbing,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7278,"APPROVED VENDOR Manual Two-Way Ball Valve: 1/2 in, Straight, FNPT x FNPT, Full Port Ball Port, Lever"
3310T57,"Strut Channel with 1-1/8"" Long Slotted Holes, Zinc-Plated Steel 10ft",,,Enclosures & Hardware,Structural Components,DIN Rails,ai_categorization,0.85,,,,,,,,,,,,,,,,,,7279,"Strut Channel with 1-1/8"" Long Slotted Holes, Zinc-Plated Steel 10ft"
3310T766,"Strut Channel Slotted Hole, Black Powder-Coated Steel",,,Enclosures & Hardware,Structural Components,DIN Rails,ai_categorization,0.85,,,,,,,,,,,,,,,,,,7280,"Strut Channel Slotted Hole, Black Powder-Coated Steel"
33125T139,"Strut Channel BracketWraparound, Zinc-Plated Steel",,,Enclosures & Hardware,Structural Components,Brackets,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7281,"Strut Channel BracketWraparound, Zinc-Plated Steel"
33145T53,"Strut Channel Floor Mount for Standard Channel, Straight Post, Zinc-Plated Steel, 4"" Long",,,Enclosures & Hardware,Structural Components,Mounting Hardware,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7282,"Strut Channel Floor Mount for Standard Channel, Straight Post, Zinc-Plated Steel, 4"" Long"
33GN01,"MILWAUKEE Power Bit: Power Bit, 3.5""L, Imperial, PH2 Bit Industry Size, #2 Bit Size, Std, Hex, 25 PK",,,MRO & Indirect,Tools & Equipment,Hand Tools,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7283,"MILWAUKEE Power Bit: Power Bit, 3.5""L, Imperial, PH2 Bit Industry Size, #2 Bit Size, Std, Hex, 25 PK"
3485-20,Milwaukee M12 FUEL 1/4in. Right Angle Die Grinder,,,MRO & Indirect,Tools & Equipment,Power Tools,ai_categorization,1.0,,,,,,,,,,,,,,,,,,7284,Milwaukee M12 FUEL 1/4in. Right Angle Die Grinder
35U069,"EAGLE Spill Pallet: For 4 Drums, 51 in x 52 1/2 in x 13 3/4 in, 132 gal Spill Capacity, Yellow",,,MRO & Indirect,Industrial Equipment,Material Handling,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7285,"EAGLE Spill Pallet: For 4 Drums, 51 in x 52 1/2 in x 13 3/4 in, 132 gal Spill Capacity, Yellow"
36-100-01M,1 M |10GB | 50 Microns | UPC Polish | Aqua Jacket | OFNR Riser-Rated | For High Throughput Applications,,,Wire & Cable,Cable Assemblies,Pre-Terminated Assemblies,ai_extraction,0.8,Fiber Cable,,,,,,,,,,,,,,,,,7286,1 M |10GB | 50 Microns | UPC Polish | Aqua Jacket | OFNR Riser-Rated | For High Throughput Applications
36-100-10M,10 M |10GB | 50 Microns | UPC Polish | Aqua Jacket | OFNR Riser-Rated | For High Throughput Applications,,,Wire & Cable,Cable Assemblies,Pre-Terminated Assemblies,ai_extraction,0.8,Fiber Cable,,,,,,,,,,,,,,,,,7287,10 M |10GB | 50 Microns | UPC Polish | Aqua Jacket | OFNR Riser-Rated | For High Throughput Applications
36-100-3M,3 M |10GB | 50 Microns | UPC Polish | Aqua Jacket | OFNR Riser-Rated | For High Throughput Applications,,,Wire & Cable,Cable Assemblies,Pre-Terminated Assemblies,ai_extraction,0.8,Fiber Cable,,,,,,,,,,,,,,,,,7288,3 M |10GB | 50 Microns | UPC Polish | Aqua Jacket | OFNR Riser-Rated | For High Throughput Applications
3833-EDS-208-ND,,,,Miscellaneous/Other,Inactive Items,Master Data Only,ai_categorization,1.0,,,,,,,,,,,,,,,,,,7289,[No Description]
38CAVH0.5E,"Eaton Bussmann series medium auxiliary fuse, VT fuse-link, medium voltage, 0.5 A, AC 38 kV, 440 x 41.3 mm, back-up, IEC, US, 0.5E, Protect of auxiliary trans, 0.5 A, 0.5E, 40K A Breaking Cap, Inst Air, E, IEC, AC, Class back-up",,,Circuit Protection,Fuses & Disconnects,Power Fuses,regex_extraction,0.9,Fuse,0.5,,,,,,,41.3mm²,,,,,,,,,6114,"Eaton Bussmann series medium auxiliary fuse, VT fuse-link, medium voltage, 0.5 A, AC 38 kV, 440 x 41.3 mm, back-up, IEC, US, 0.5E, Protect of auxiliary trans, 0.5 A, 0.5E, 40K A Breaking Cap, Inst Air, E, IEC, AC, Class back-up"
3XA42,"FUJI ELECTRIC Variable Frequency Drive: In Phase Three, 460V AC, Out Phase Three, 2 hp, IP20, Blue",,,Electrical Components,Switching & Control,Motor Starters,ai_extraction,0.8,VFD,,460VAC,3.0,,,,,,,,,,,,,,7290,"FUJI ELECTRIC Variable Frequency Drive: In Phase Three, 460V AC, Out Phase Three, 2 hp, IP20, Blue"
4.08199.929.MTG81,"8""X2"" SWIVEL CASTER W/URETHANE WHEEL & SVL LOCK",,,Enclosures & Hardware,Structural Components,Miscellaneous Hardware,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7291,"8""X2"" Swivel Caster W/Urethane Wheel & Svl Lock"
"40"" x 82"" Shipping Pallets",Shipping Pallets,,,MRO & Indirect,Industrial Equipment,Material Handling,,,,,,,,,,,,,,,,,,,,4649,Shipping pallets
40P129,Little Giant Combination Ladder,,,MRO & Indirect,Tools & Equipment,Safety Equipment,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7292,Little Giant Combination Ladder
4138T139,"Gas Spring 150 lbs. Force, 5/16""-18 Thread Size, 11.81"" Extended Lengt",,,Enclosures & Hardware,Structural Components,Miscellaneous Hardware,ai_categorization,0.85,,,,,,,,,,,,,,,,,,7293,"Gas Spring 150 lbs. Force, 5/16""-18 Thread Size, 11.81"" Extended Lengt"
416L86,"APPROVED VENDOR Wire Wheel Brush: Crimped Steel, 8 in Dia x 1 in Wd, 5/8 in Arbor, 0.014 in Fill",,,MRO & Indirect,Tools & Equipment,Hand Tools,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7294,"APPROVED VENDOR Wire Wheel Brush: Crimped Steel, 8 in Dia x 1 in Wd, 5/8 in Arbor, 0.014 in Fill"
4304N42,"T-Slotted Framing Caster Swivel, for 1.5"" and 40mm High Single Rail, 3"" Rubber Wheel",,,Enclosures & Hardware,Structural Components,Miscellaneous Hardware,ai_categorization,0.9,,,,,,,,,,,,,,,,,,7295,"T-Slotted Framing Caster Swivel, for 1.5"" and 40mm High Single Rail, 3"" Rubber Wheel"
447T46,sanding belt,,,MRO & Indirect,Tools & Equipment,Hand Tools,,,,,,,,,,,,,,,,,,,,4565,Sanding belt
4561754,Warehouse Tools & Equipment,,,MRO & Indirect,Tools & Equipment,Hand Tools,,,,,,,,,,,,,,,,,,,,5869,Warehouse Tools & Equipment
4566181,Warehouse Tools & Equipment,,,MRO & Indirect,Tools & Equipment,Hand Tools,,,,,,,,,,,,,,,,,,,,5869,Warehouse Tools & Equipment
4566486,Warehouse Tools & Equipment,,,MRO & Indirect,Tools & Equipment,Hand Tools,,,,,,,,,,,,,,,,,,,,5869,Warehouse Tools & Equipment
4566699,Warehouse Tools & Equipment,,,MRO & Indirect,Tools & Equipment,Hand Tools,,,,,,,,,,,,,,,,,,,,5869,Warehouse Tools & Equipment
45ND54,scissors,,,MRO & Indirect,Tools & Equipment,Hand Tools,,,,,,,,,,,,,,,,,,,,4605,Scissors
46027-877-03-02 (27kV),1200A Main Bus Boot (27kV),,,Raw Materials,Insulation & Coatings,Insulating Materials,ai_extraction,0.75,,,,,,,,,,,,,,,IN,,,7212,1200A Main Bus Boot (27kV)
46027-883-01-02 (27kV),1200A Main Bus Boot End Cap (27kV),,,Raw Materials,Insulation & Coatings,Insulating Materials,ai_extraction,0.75,,,,,,,,,,,,,,,IN,,,7296,1200A Main Bus Boot End Cap (27kV)
46325A92,"3M Roloc Equivalent Back Up Pad with Shank 2"" Disc Diameter",,,MRO & Indirect,Tools & Equipment,Power Tools,ai_categorization,0.85,,,,,,,,,,,,,,,,,,7297,"3M Roloc Equivalent Back Up Pad with Shank 2"" Disc Diameter"
46475A281,"Sanding Belt for Stainless Steel and Hard Metals 40 Grit, 1/2"" Wide x 18"" Long",,,MRO & Indirect,Office & Administrative,Consumables,ai_categorization,0.8,,,,,,,,,,,,,,,,,,7298,"Sanding Belt for Stainless Steel and Hard Metals 40 Grit, 1/2"" Wide x 18"" Long"
46505A68,"Air-Powered Narrow-Belt Sander for 1/2"" Wide x 18"" Long Belt",,,MRO & Indirect,Tools & Equipment,Power Tools,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7299,"Air-Powered Narrow-Belt Sander for 1/2"" Wide x 18"" Long Belt"
467120,"Milwaukee All-Purpose HOLE DOZER Hole Saw Kit, 28-Pc., Model# 49-22-4185",,,MRO & Indirect,Tools & Equipment,Hand Tools,ai_categorization,0.95,,,,,,,,,,,,,,,,,,7300,"Milwaukee All-Purpose HOLE DOZER Hole Saw Kit, 28-Pc., Model# 49-22-4185"
4680354,Consumables,,,MRO & Indirect,Office & Administrative,Consumables,,,,,,,,,,,,,,,,,,,,2015,Consumables
4682200,Third Party Services,,,Professional Services,Engineering Services,Consulting,,,,,,,,,,,,,,,,,,,,5763,Third Party Services
